Age	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
219	-0.1733	13.9221	0.08352	10.816	11.5	11.923	12.155	12.521	12.776	13.163	13.922	14.733	15.191	15.511	15.999	16.326	16.964	18.129
220	-0.1733	13.9254	0.08352	10.818	11.503	11.926	12.157	12.524	12.779	13.166	13.925	14.736	15.194	15.514	16.003	16.33	16.968	18.133
221	-0.1733	13.9287	0.08352	10.821	11.506	11.929	12.16	12.527	12.782	13.169	13.929	14.74	15.198	15.518	16.006	16.333	16.973	18.138
222	-0.1733	13.9319	0.08352	10.823	11.508	11.932	12.163	12.53	12.785	13.172	13.932	14.743	15.202	15.521	16.01	16.337	16.976	18.142
223	-0.1733	13.9351	0.08352	10.826	11.511	11.934	12.166	12.533	12.788	13.175	13.935	14.747	15.205	15.525	16.014	16.341	16.98	18.146
224	-0.1733	13.9383	0.08352	10.828	11.514	11.937	12.169	12.536	12.791	13.178	13.938	14.75	15.209	15.529	16.017	16.345	16.984	18.15
225	-0.1733	13.9415	0.08352	10.831	11.516	11.94	12.172	12.539	12.794	13.181	13.942	14.753	15.212	15.532	16.021	16.348	16.988	18.154
226	-0.1733	13.9446	0.08352	10.833	11.519	11.943	12.174	12.541	12.797	13.184	13.945	14.757	15.215	15.536	16.025	16.352	16.992	18.158
227	-0.1733	13.9477	0.08352	10.835	11.522	11.945	12.177	12.544	12.799	13.187	13.948	14.76	15.219	15.539	16.028	16.356	16.996	18.163
228	-0.1733	13.9508	0.08352	10.838	11.524	11.948	12.18	12.547	12.802	13.19	13.951	14.763	15.222	15.542	16.032	16.359	16.999	18.167
229	-0.1733	13.9539	0.08352	10.84	11.527	11.951	12.182	12.55	12.805	13.193	13.954	14.767	15.226	15.546	16.035	16.363	17.003	18.171
230	-0.1733	13.9569	0.08352	10.843	11.529	11.953	12.185	12.552	12.808	13.196	13.957	14.77	15.229	15.549	16.039	16.366	17.007	18.175
231	-0.1733	13.9599	0.08352	10.845	11.532	11.956	12.188	12.555	12.811	13.199	13.96	14.773	15.232	15.553	16.042	16.37	17.011	18.178
232	-0.1733	13.9628	0.08352	10.847	11.534	11.958	12.19	12.558	12.813	13.202	13.963	14.776	15.235	15.556	16.046	16.373	17.014	18.182
233	-0.1733	13.9658	0.08352	10.85	11.536	11.961	12.193	12.56	12.816	13.204	13.966	14.779	15.239	15.559	16.049	16.377	17.018	18.186
234	-0.1733	13.9687	0.08352	10.852	11.539	11.963	12.195	12.563	12.819	13.207	13.969	14.782	15.242	15.562	16.052	16.38	17.021	18.19
235	-0.1733	13.9716	0.08352	10.854	11.541	11.966	12.198	12.566	12.821	13.21	13.972	14.785	15.245	15.566	16.056	16.384	17.025	18.194
236	-0.1733	13.9744	0.08352	10.856	11.544	11.968	12.2	12.568	12.824	13.213	13.974	14.788	15.248	15.569	16.059	16.387	17.028	18.197
237	-0.1733	13.9773	0.08352	10.858	11.546	11.971	12.203	12.571	12.827	13.215	13.977	14.791	15.251	15.572	16.062	16.39	17.032	18.201
238	-0.1733	13.9801	0.08352	10.861	11.548	11.973	12.205	12.573	12.829	13.218	13.98	14.794	15.254	15.575	16.066	16.394	17.035	18.205
239	-0.1733	13.9829	0.08351	10.863	11.551	11.976	12.208	12.576	12.832	13.221	13.983	14.797	15.257	15.578	16.068	16.397	17.038	18.208
240	-0.1733	13.9857	0.08351	10.865	11.553	11.978	12.21	12.579	12.834	13.223	13.986	14.8	15.26	15.581	16.072	16.4	17.042	18.211
241	-0.1733	13.9884	0.08351	10.867	11.555	11.98	12.213	12.581	12.837	13.226	13.988	14.803	15.263	15.584	16.075	16.403	17.045	18.215
242	-0.1733	13.9911	0.08351	10.869	11.558	11.983	12.215	12.583	12.839	13.228	13.991	14.806	15.266	15.587	16.078	16.406	17.048	18.218
243	-0.1733	13.9938	0.08351	10.872	11.56	11.985	12.217	12.586	12.842	13.231	13.994	14.809	15.269	15.59	16.081	16.409	17.051	18.222
244	-0.1733	13.9965	0.08351	10.874	11.562	11.987	12.22	12.588	12.844	13.234	13.997	14.812	15.272	15.593	16.084	16.413	17.055	18.225
245	-0.1733	13.9991	0.0835	10.876	11.565	11.99	12.222	12.591	12.847	13.236	13.999	14.814	15.275	15.596	16.087	16.415	17.057	18.228
246	-0.1733	14.0018	0.0835	10.878	11.567	11.992	12.225	12.593	12.849	13.239	14.002	14.817	15.278	15.599	16.09	16.419	17.061	18.232
247	-0.1733	14.0044	0.0835	10.88	11.569	11.994	12.227	12.596	12.852	13.241	14.004	14.82	15.28	15.602	16.093	16.422	17.064	18.235
248	-0.1733	14.007	0.0835	10.882	11.571	11.996	12.229	12.598	12.854	13.244	14.007	14.823	15.283	15.605	16.096	16.425	17.067	18.239
249	-0.1733	14.0095	0.0835	10.884	11.573	11.999	12.231	12.6	12.856	13.246	14.01	14.825	15.286	15.607	16.099	16.428	17.07	18.242
250	-0.1733	14.012	0.08349	10.886	11.575	12.001	12.234	12.603	12.859	13.248	14.012	14.828	15.289	15.61	16.101	16.43	17.073	18.244
251	-0.1733	14.0146	0.08349	10.888	11.578	12.003	12.236	12.605	12.861	13.251	14.015	14.831	15.291	15.613	16.104	16.433	17.076	18.248
252	-0.1733	14.017	0.08349	10.89	11.58	12.005	12.238	12.607	12.863	13.253	14.017	14.833	15.294	15.616	16.107	16.436	17.079	18.251
253	-0.1733	14.0195	0.08349	10.892	11.582	12.007	12.24	12.609	12.866	13.255	14.02	14.836	15.297	15.618	16.11	16.439	17.082	18.254
254	-0.1733	14.022	0.08348	10.894	11.584	12.01	12.243	12.612	12.868	13.258	14.022	14.838	15.299	15.621	16.113	16.442	17.085	18.257
255	-0.1733	14.0244	0.08348	10.896	11.586	12.012	12.245	12.614	12.87	13.26	14.024	14.841	15.302	15.624	16.115	16.444	17.087	18.26
256	-0.1733	14.0268	0.08348	10.898	11.588	12.014	12.247	12.616	12.872	13.262	14.027	14.843	15.304	15.626	16.118	16.447	17.09	18.263
257	-0.1733	14.0292	0.08348	10.9	11.59	12.016	12.249	12.618	12.875	13.265	14.029	14.846	15.307	15.629	16.121	16.45	17.093	18.266
258	-0.1733	14.0315	0.08347	10.902	11.592	12.018	12.251	12.62	12.877	13.267	14.032	14.848	15.309	15.631	16.123	16.452	17.096	18.269
259	-0.1733	14.0339	0.08347	10.904	11.594	12.02	12.253	12.623	12.879	13.269	14.034	14.851	15.312	15.634	16.126	16.455	17.099	18.272
260	-0.1733	14.0362	0.08347	10.906	11.596	12.022	12.255	12.625	12.881	13.271	14.036	14.853	15.315	15.637	16.129	16.458	17.101	18.275
261	-0.1733	14.0385	0.08346	10.908	11.598	12.024	12.257	12.627	12.883	13.274	14.039	14.856	15.317	15.639	16.131	16.46	17.104	18.277
262	-0.1733	14.0408	0.08346	10.91	11.6	12.026	12.259	12.629	12.886	13.276	14.041	14.858	15.319	15.642	16.134	16.463	17.107	18.28
263	-0.1733	14.043	0.08346	10.911	11.602	12.028	12.261	12.631	12.888	13.278	14.043	14.86	15.322	15.644	16.136	16.466	17.109	18.283
264	-0.1733	14.0453	0.08345	10.914	11.604	12.03	12.264	12.633	12.89	13.28	14.045	14.863	15.324	15.646	16.139	16.468	17.112	18.285
265	-0.1733	14.0475	0.08345	10.915	11.606	12.032	12.265	12.635	12.892	13.282	14.048	14.865	15.327	15.649	16.141	16.47	17.114	18.288
266	-0.1733	14.0497	0.08345	10.917	11.608	12.034	12.267	12.637	12.894	13.284	14.05	14.867	15.329	15.651	16.144	16.473	17.117	18.291
267	-0.1733	14.0519	0.08344	10.919	11.61	12.036	12.27	12.639	12.896	13.287	14.052	14.87	15.331	15.653	16.146	16.475	17.119	18.293
268	-0.1733	14.054	0.08344	10.921	11.611	12.038	12.271	12.641	12.898	13.289	14.054	14.872	15.334	15.656	16.148	16.478	17.122	18.296
269	-0.1733	14.0562	0.08344	10.922	11.613	12.04	12.273	12.643	12.9	13.291	14.056	14.874	15.336	15.658	16.151	16.48	17.125	18.299
270	-0.1733	14.0583	0.08343	10.924	11.615	12.042	12.275	12.645	12.902	13.293	14.058	14.876	15.338	15.66	16.153	16.483	17.127	18.301
271	-0.1733	14.0604	0.08343	10.926	11.617	12.044	12.277	12.647	12.904	13.295	14.06	14.878	15.34	15.663	16.155	16.485	17.129	18.304
272	-0.1733	14.0625	0.08342	10.928	11.619	12.046	12.279	12.649	12.906	13.297	14.063	14.881	15.342	15.665	16.157	16.487	17.131	18.306
273	-0.1733	14.0646	0.08342	10.93	11.621	12.048	12.281	12.651	12.908	13.299	14.065	14.883	15.345	15.667	16.16	16.49	17.134	18.309
274	-0.1733	14.0666	0.08342	10.931	11.622	12.049	12.283	12.653	12.91	13.301	14.067	14.885	15.347	15.669	16.162	16.492	17.136	18.311
275	-0.1733	14.0687	0.08341	10.933	11.624	12.051	12.285	12.655	12.912	13.303	14.069	14.887	15.349	15.672	16.164	16.494	17.139	18.314
276	-0.1733	14.0707	0.08341	10.935	11.626	12.053	12.287	12.657	12.914	13.305	14.071	14.889	15.351	15.674	16.167	16.496	17.141	18.316
277	-0.1733	14.0727	0.0834	10.936	11.628	12.055	12.288	12.659	12.916	13.307	14.073	14.891	15.353	15.676	16.169	16.498	17.143	18.318
278	-0.1733	14.0747	0.0834	10.938	11.63	12.057	12.29	12.66	12.917	13.308	14.075	14.893	15.355	15.678	16.171	16.501	17.145	18.321
279	-0.1733	14.0766	0.08339	10.94	11.631	12.058	12.292	12.662	12.919	13.31	14.077	14.895	15.357	15.68	16.173	16.503	17.147	18.323
280	-0.1733	14.0786	0.08339	10.941	11.633	12.06	12.294	12.664	12.921	13.312	14.079	14.897	15.36	15.682	16.175	16.505	17.15	18.325
281	-0.1733	14.0805	0.08338	10.943	11.635	12.062	12.296	12.666	12.923	13.314	14.081	14.899	15.361	15.684	16.177	16.507	17.152	18.327
282	-0.1733	14.0824	0.08338	10.945	11.636	12.064	12.297	12.668	12.925	13.316	14.082	14.901	15.364	15.686	16.179	16.509	17.154	18.33
283	-0.1733	14.0844	0.08337	10.947	11.638	12.066	12.299	12.67	12.927	13.318	14.084	14.903	15.366	15.688	16.181	16.511	17.156	18.332
284	-0.1733	14.0862	0.08337	10.948	11.64	12.067	12.301	12.671	12.928	13.32	14.086	14.905	15.368	15.69	16.183	16.513	17.158	18.334
285	-0.1733	14.0881	0.08336	10.95	11.642	12.069	12.303	12.673	12.93	13.321	14.088	14.907	15.369	15.692	16.185	16.515	17.16	18.336
286	-0.1733	14.09	0.08336	10.951	11.643	12.071	12.304	12.675	12.932	13.323	14.09	14.909	15.372	15.694	16.187	16.517	17.162	18.338
