Age	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
230	0.2298	14.4225	0.07642	11.313	12.028	12.461	12.695	13.062	13.315	13.694	14.423	15.181	15.6	15.889	16.325	16.613	17.168	18.152
231	0.2289	14.4254	0.07642	11.316	12.031	12.464	12.698	13.065	13.317	13.696	14.425	15.184	15.603	15.892	16.329	16.617	17.171	18.156
232	0.228	14.4282	0.07643	11.318	12.033	12.466	12.7	13.067	13.32	13.699	14.428	15.187	15.607	15.896	16.332	16.62	17.175	18.16
233	0.2271	14.4311	0.07644	11.32	12.036	12.469	12.703	13.07	13.322	13.702	14.431	15.19	15.61	15.899	16.336	16.624	17.179	18.165
234	0.2262	14.4339	0.07644	11.323	12.038	12.471	12.705	13.073	13.325	13.704	14.434	15.193	15.613	15.902	16.339	16.628	17.183	18.169
235	0.2253	14.4367	0.07645	11.325	12.04	12.473	12.708	13.075	13.327	13.707	14.437	15.196	15.616	15.906	16.343	16.631	17.187	18.173
236	0.2244	14.4394	0.07646	11.327	12.042	12.476	12.71	13.077	13.33	13.709	14.439	15.199	15.619	15.909	16.346	16.635	17.191	18.178
237	0.2235	14.4421	0.07646	11.329	12.045	12.478	12.712	13.08	13.332	13.712	14.442	15.202	15.622	15.912	16.349	16.638	17.194	18.181
238	0.2227	14.4448	0.07647	11.331	12.047	12.48	12.715	13.082	13.335	13.715	14.445	15.205	15.625	15.915	16.353	16.642	17.198	18.186
239	0.2218	14.4475	0.07647	11.334	12.049	12.483	12.717	13.085	13.337	13.717	14.448	15.208	15.628	15.918	16.356	16.645	17.202	18.19
240	0.2209	14.4501	0.07648	11.336	12.052	12.485	12.719	13.087	13.34	13.72	14.45	15.211	15.631	15.921	16.359	16.648	17.205	18.194
241	0.22	14.4527	0.07649	11.338	12.054	12.487	12.721	13.089	13.342	13.722	14.453	15.213	15.634	15.925	16.362	16.652	17.209	18.198
242	0.2192	14.4553	0.07649	11.34	12.056	12.489	12.724	13.092	13.344	13.724	14.455	15.216	15.637	15.928	16.365	16.655	17.212	18.202
243	0.2183	14.4578	0.0765	11.342	12.058	12.491	12.726	13.094	13.346	13.727	14.458	15.219	15.64	15.931	16.369	16.658	17.216	18.206
